"id","year","cntry","income","loginc","weights","Father_Edu","Mother_Edu","Sex","Birth_Area","Religion"
8644,2011,"NPL",409.370177613517,9.00594420774392,1318.86560058594,1,1,1,7,1
8645,2011,"NPL",226.930212250829,8.41488977303758,1318.86572265625,1,1,0,7,1
8646,2011,"NPL",5764.99233154926,11.6237215085241,949.032897949219,1,1,0,7,1
8647,2011,"NPL",1356.60942907575,10.1693090547379,1318.86572265625,1,1,0,7,1
8648,2011,"NPL",1638.31813421855,10.3888509058615,1318.86572265625,1,1,1,7,1
8649,2011,"NPL",1727.25581098732,10.3338302075737,1261.67138671875,1,1,1,7,1
8650,2011,"NPL",1285.10270186885,10.1111125615898,1261.67138671875,2,1,0,7,1
8651,2011,"NPL",671.971664860266,9.37530251427881,1318.86572265625,1,1,1,7,1
8652,2011,"NPL",3652.03574659291,11.190465469063,1318.57263183594,1,1,1,7,1
8653,2011,"NPL",6266.29492862192,11.6866181701168,1318.86572265625,1,1,0,7,1
8654,2011,"NPL",3438.01142595177,11.1164766334395,1318.86560058594,1,1,0,7,1
8655,2011,"NPL",1534.60548449058,10.3001461191398,1261.67138671875,1,1,1,7,1
8656,2011,"NPL",2265.83097408224,10.7189584533857,1261.67126464844,1,1,1,7,1
8657,2011,"NPL",2991.7049753818,10.9712109881705,678.582458496094,1,3,1,7,1
8658,2011,"NPL",7552.30822294424,11.8635823365834,949.032897949219,2,2,1,7,1
8659,2011,"NPL",839.306462528095,9.72388804667471,1261.67126464844,2,1,0,7,1
8660,2011,"NPL",880.797813469279,9.7374437016627,1318.86572265625,1,1,0,7,1
8661,2011,"NPL",893.449388996343,9.72388804667471,1261.67126464844,2,2,0,7,1
8662,2011,"NPL",2890.89922013144,10.9259384802387,436.725860595703,2,1,0,7,1
8663,2011,"NPL",1669.5956222464,10.1904997481102,709.186584472656,1,1,1,7,1
8664,2011,"NPL",1638.31813421855,10.3888509058615,1318.86572265625,1,1,0,7,1
8665,2011,"NPL",1050.44026558668,9.94721189367078,1261.67138671875,1,1,0,7,1
8666,2011,"NPL",551.354462921354,9.25599703564438,1318.86572265625,2,1,0,7,1
8667,2011,"NPL",611.921086159566,9.40685056785698,1261.67138671875,1,1,1,7,1
8668,2011,"NPL",7741.94171526413,11.9433445082284,456.422241210938,4,1,0,7,1
8669,2011,"NPL",3083.82721703811,11.0155527158361,963.667907714844,1,1,1,7,1
8670,2011,"NPL",962.946414156283,9.85744361403472,1261.67138671875,2,1,0,7,1
8671,2011,"NPL",1704.30348815618,10.3798453692158,1261.67138671875,1,1,0,7,1
8672,2011,"NPL",7602.18845273672,11.8649897963513,1318.57275390625,3,2,1,7,1
8673,2011,"NPL",6750.91467182436,11.8063876751934,456.422241210938,2,1,1,7,1
8674,2011,"NPL",496.641282834426,9.14680157488525,1318.86560058594,1,1,0,7,1
8675,2011,"NPL",413.359717029917,9.00594420774392,1318.86560058594,1,1,0,7,1
8676,2011,"NPL",342.487016002537,8.77991137912917,1261.67138671875,1,1,0,7,1
8677,2011,"NPL",1515.51792445119,10.3001461191398,1261.67138671875,1,1,0,7,1
8678,2011,"NPL",344.136724293956,8.77991137912917,1261.67138671875,1,1,1,7,1
8679,2011,"NPL",1138.28684108005,10.0230012426924,1261.67126464844,1,1,0,7,1
8680,2011,"NPL",331.383986755216,8.77991137912917,1261.67138671875,1,1,0,7,1
8681,2011,"NPL",1719.72097283989,10.3888509058615,1318.86572265625,2,1,0,7,1
8682,2011,"NPL",3310.57314495307,11.0756835609912,1261.67138671875,1,1,1,7,1
8683,2011,"NPL",5672.85103025317,11.5611753215279,1261.67126464844,1,1,1,7,1
8684,2011,"NPL",750.557687054243,9.60977090651878,1318.86560058594,1,1,0,7,1
8685,2011,"NPL",404.309014738658,8.97604433438085,1261.67138671875,1,1,1,7,1
8686,2011,"NPL",1186.23143005522,10.0707225194156,1261.67138671875,2,2,0,7,1
8687,2011,"NPL",2852.12409225997,10.9447559966991,1261.67126464844,1,1,0,7,1
8688,2011,"NPL",737.552327834561,9.5709492971155,1261.67138671875,1,2,0,7,1
8689,2011,"NPL",679.127138151121,9.51105559110024,1261.67126464844,1,1,0,7,1
8690,2011,"NPL",6080.18283494079,11.6866181701168,1318.86572265625,1,1,0,7,1
8691,2011,"NPL",1021.63875327373,9.91486170992805,1261.67138671875,1,1,0,7,1
8692,2011,"NPL",957.774197560312,9.85744361403472,1261.67138671875,2,1,1,7,1
8693,2011,"NPL",1336.32018584621,10.1904997481102,709.186584472656,2,2,0,7,1
8694,2011,"NPL",780.464587728848,9.64561097024178,1261.67138671875,2,1,0,7,1
8695,2011,"NPL",3295.1014918986,10.8604316645072,1318.86560058594,1,1,0,7,1
8696,2011,"NPL",1656.19037656909,10.3798453692158,1261.67138671875,1,1,0,7,1
8697,2011,"NPL",2987.37447733024,10.9457693043391,949.032958984375,1,1,1,7,1
8698,2011,"NPL",3452.60812877134,11.0756835609912,1261.67138671875,4,2,0,7,1
8699,2011,"NPL",567.716200829244,9.32906749591124,1318.86560058594,1,1,0,7,1
8700,2011,"NPL",489.965997221051,9.14680157488525,1318.86560058594,1,1,1,7,1
8701,2011,"NPL",1150.08955438492,10.0350205308758,1318.86560058594,1,1,0,7,1
8702,2011,"NPL",771.527457929661,9.63409386406611,949.032958984375,2,2,0,7,1
8703,2011,"NPL",636.92121559133,9.32906749591124,1318.86560058594,1,1,1,7,1
8704,2011,"NPL",7041.56030437848,11.8121037025604,436.725891113281,4,2,0,7,1
